"Card_ID";"Navn";"Arbejdssted_ID";"Enhed_ID";"SD_ID";"Center_ID";"Leder";"Leder_Niveau";"Sekretaer_Initialer";"Sekretaer";"EAN";"AfdelingsEmail"
"451";"Børnehuset Margrethebakken";"303";"BMBA";"BMBA";"CSD ";"Karina Kejlstrup";"";"";"";"";""
"452";"Børnehuset Mariehønen";"102";"BMAH";"BMAH";"CSD ";"Ulla Nilsson";"";"";"";"";""
"453";"Børnehuset Marienlyst";"327";"BMAR";"BMAR";"CSD ";"Mariann Knudsen";"3";"";"";"";""
"455";"Børnehuset Møllehøj";"205";"BMOE";"BMOE";"CSD ";"Gitte Dehn";"";"";"";"";""
"456";"Børnehuset Paletten";"345";"BPAL";"BPAL";"CSD ";"Mariann Knudsen";"3";"";"";"";""
"457";"Børnehuset Regnbuen";"126";"BREG";"BREG";"CSD ";"Kit Larsen";"";"";"";"";""
"458";"Børnehuset Solsikken";"130";"BSOL";"BSOL";"CSD ";"Merete Christiansen";"";"";"";"";""
"459";"Børnehuset Stangkær";"110";"BSTA";"BSTA";"CSD ";"Peter Kern";"";"";"";"";""
"460";"Børnehuset Stengården";"319";"BSTG";"BSTG";"CSD ";"Trine Kilde";"";"";"";"";""
"718";"Børnehuset Stjernehuset";"222";"BBLO";"BBLO";"CSD";"Karen Jensen";"";"";"";"";""
"461";"Børnehuset Troldehøj";"302";"BTRO";"BTRO";"CSD ";"Katrine Fischer Hansen";"";"";"";"";""
"462";"Børnehuset Tryllefløjten";"328";"BTRY";"BTRY";"CSD ";"Heidi Andersen";"";"";"";"";""
"463";"Børnehuset Vandfaldet";"240";"BVAN";"BVAN";"CSD ";"Helle Hansen";"";"";"";"";""
"289";"Brandvæsen";"200A";"REDN";"REDN";"CEI ";"Thomas Emil Hammerum";"";"";"";"";"brand@egekom.dk"
"290";"Byg, Teknik og Energi";"400R";"BYVE";"BYVE";"CEI ";"Kleis Nielsen";"2";"";"";"5798008081446";""
"432";"Byggelegeplads Stengården";"307";"KSTG";"KSTG";"CSD ";"Hamid Hosheni";"";"";"";"5798008080241";""
"476";"Byggelegepladsen Sødalen";"101";"KSOE";"KSOE";"CSD ";"Hans Christian Grau-Hansen";"";"";"";"5798008857072";""
"307";"Byggesag";"400R";"BYGG";"BYGG";"CPK ";"Jens Lemche";"4";"";"";"";""
"550";"Cafe ZigZag";"206";"ZIGZ";"ZIGZ";"CSS ";"Kim Jørgensen";"3";"";"";"";""
"610";"CAS Ledelse";"400R";"KOSX";"KOSX";"CAS";"Christina Boserup";"2";"";"";"";""
"705";"CAS Sekretariatet";"400R";"BSEK";"BSEK";"CAS ";"Peter Elman Hansen";"4";"";"";"5798008081378";"borgmestersekretariat@egekom.dk"
"710";"CAS Seniorjob";"400R";"SJOB";"SJOB";"CAS";"";"";"";"";"";""
"611";"CBS Ledelse";"400R";"CBSL";"CBSL";"CBS";"Kjeld Ebdrup";"2";"";"";"";""
"612";"CEI Ledelse";"400R";"CEIL";"CEIL";"CEI";"Kleis Nielsen";"2";"";"";"";""
"613";"CPK Ledelse";"400R";"CPKL";"CPKL";"CPK";"Mona Dates Jørgensen";"2";"";"";"";""
"422";"CPK Sekretariat";"400R";"CPKS";"CPKS";"CPK ";"Mona Dates Jørgensen";"2";"";"";"5798008081224";""
"719";"CSD Ledelse";"400R";"CSDL";"CSDL";"CSD";"Egon Agerlin";"2";"";"";"";""
"354";"CSO Administration";"400R";"CSOP";"CSOP";"CSO ";"Erik Petersen";"3";"JJL3TGU";"Tine Guldfeldt";"5798008080746";""
"616";"CSO Ledelse";"400R";"CSOL";"CSOL";"CSO";"Erik Petersen";"3";"";"";"";""
"548";"CSO Ledelse og Sekretariat";"400R";"CSL";"CSL";"CSO ";"Erik Petersen";"3";"";"";"";""
"347";"CSS Administration";"400R";"CSSS";"CSSS";"CSS ";"Mikael Bonderup Laursen";"4";"";"";"5798008080838";""
"615";"CSS Ledelse";"400R";"CSSL";"CSSL";"CSS";"Rikke Westergaard Larsen";"2";"";"";"";""
"617";"CTM Ledelse";"400R";"CTML";"CTML";"CTM";"Ingela Karlsson
";"3";"";"";"5798008081187";""
"591";"CTM Sekretariat";"400R";"CTMS";"CTMS";"CTM ";"Ingela Karlsson
";"3";"";"";"5798008081187";""
"466";"Daginstitutionsområde Ganløse-Slagslunde";"207";"BOG";"BOG";"CSD ";"Penille Hagemann Nielsen";"3";"";"";"5790001130831";""
"470";"Daginstitutionsområde Ølstykke";"235";"BO2";"BO2";"CSD ";"Birgit Andrup";"4";"";"";"5798008080111";""
"467";"Daginstitutionsområde Smørum";"235";"BOS";"BOS";"CSD ";"Jeannette Olsen";"4";"";"";"5798008856990";""
"468";"Daginstitutionsområde Stenløse";"235";"BOV";"BOV";"CSD ";"Birgitta Sigvardt";"4";"";"";"5790001130688";""
"345";"Dagplejen";"400R";"DAP";"DAP";"CSD ";"Christel Gudik Rousing";"3";"";"";"5790001130817";""
"474";"Dagplejen Ølstykke";"116";"DAOL";"DAOL";"CSD ";"Heidi Sandie Lyngby";"4";"";"";"";""
"472";"Dagplejen Smørum";"116";"DASM";"DASM";"CSD ";"Susanne Nielsen";"4";"";"";"";""
"473";"Dagplejen Stenløse";"116";"DAST";"DAST";"CSD ";"Christel Gudik Rousing";"3";"";"";"";""
"316";"Dagplejen, ledelse";"400R";"DAPL";"DAPL";"CSD ";"Christel Gudik Rousing";"3";"";"";"5790001130817";""
"471";"Dagplejen, sekretariat";"400R";"DASE";"DASE";"CSD ";"Kirstine Bjarnt";"4";"";"";"5790001130817";""
"340";"Dagtilbud";"400R";"DAG";"DAG";"CSD ";"Heidi Paaske Jørgensen";"4";"";"";"";""
"475";"Dagtilbud, ledelse";"400R";"DALE";"DALE";"CSD ";"Egon Agerlin";"2";"";"";"5798008080852";""
"552";"Dambo";"233D";"DAMB";"DAMB";"CSS ";"Søren Hvid Karsten";"4";"";"";"";""
"511";"Damgårdsparken";"235";"DAM";"DAM";"CSO ";"Britt Rosendahl";"3";"";"";"";""
"348";"Det Sociale Team";"400R";"SOT";"SOT";"CSS ";"Gunhild Kirkmand";"3";"";"";"";""
"759";"Det Sociale Team, børn og unge";"400R";"UDSA";"UDSA";"CSS";"Gunhild Kirkmand";"3";"";"";"";""
"553";"Det Sociale Team, voksne";"400R";"MYTB";"MYTB";"CSS ";"Gunhild Kirkmand";"3";"";"";"";""
"620";"Digitalisering og Effektivisering";"400R";"DIEF";"DIEF";"CAS";"Anders Lungholt";"4";"";"";"5798008081484";"digitalisering@egekom.dk"
"731";"Døgnpladserne";"103";"POCD";"POCD";"CSO";"Britt Rosendahl";"3";"";"";"";""
"291";"Drift og Service";"400R";"TSAS";"TSAS";"CEI ";"Niels Erik Farik";"";"";"";"";""
"337";"Drift Team";"400R";"CSCS";"CSCS";"CSD ";"John Nielsen";"";"JJJ2EA";"Elizabeth Andersen";"";""
"100";"Egedal Byråd";"400R";"KBES";"KBES";"";"";"";"JJB6HS";"Hanne Sylvest";"";""
"580";"Egedal Kommunes Bo- og Aktivitetscenter";"343";"EGDA";"EGDA";"CSS ";"Kim Jørgensen";"3";"";"";"";""
"729";"Egeparken";"400P";"EGP";"EGP";"CSO";"Britt Rosendahl";"3";"";"";"";""
"732";"Egeparken, etage 1";"400P";"EGE1";"EGE1";"CSO";"Camilla Baumbach";"4";"";"";"";""
"733";"Egeparken, etage 2";"400P";"EGE2";"EGE2";"CSO";"Camilla Baumbach";"4";"";"";"";""
"592";"EGU elever";"400J";"EGUE";"EGUE";"JOB ";"Lars Bonde";"";"";"";"";""
"308";"Ejendom og GIS";"400R";"KUEJ";"KUEJ";"CPK ";"Stine Stuhr Jakobsen";"4";"";"";"";""
"579";"EKBA ¦ Afdeling Bakkebo, Carl Hansens Alle 1-3, 3650 Ølstykke";"343";"SOEI";"SOEI";"CSS ";"Kim Jørgensen";"3";"";"";"";""
"578";"EKBA ¦ Afdeling Rugvænget, Rugvænget 2A, 3660 Stenløse";"";"SOEH";"SOEH";"CSS ";"Kim Jørgensen";"3";"";"";"";""
"350";"EKBA ¦ Afdeling Skelhøj, Jægerbakken 38-40, 3670 Veksø";"237";"ESK";"ESK";"CSS ";"Kim Jørgensen";"3";"";"";"5798008081118";""
"352";"EKBA ¦ Afdeling Søvænge";"343";"ESO";"ESO";"CSS ";"Kim Jørgensen";"3";"";"";"5798008081125";""
"577";"EKBA ¦ Afdeling Vejbo, Carl Hansens Alle 17-31, 3650 Ølstykke";"326";"SOEG";"SOEG";"CSS ";"Kim Jørgensen";"3";"";"";"";""
"556";"EKBA ¦ Lillestræde, Lillestræde 3C, 3660 Stenløse";"343";"LILL";"LILL";"CSS ";"Kim Jørgensen";"3";"";"";"";""
"566";"EKBA ¦ Skelhøj Afløsning, Jægerbakken 38-40, 3670 Veksø";"237";"SKAF";"SKAF";"CSS ";"Kim Jørgensen";"3";"";"";"";""
"567";"EKBA ¦ Skelhøj Nat, Jægerbakken 38-40, 3670 Veksø";"237";"SKNA";"SKNA";"CSS ";"Kim Jørgensen";"3";"";"";"";""
"568";"EKBA ¦ Skelhøj Serv, Jægerbakken 38-40, 3670 Veksø";"237";"SKSE";"SKSE";"CSS ";"Kim Jørgensen";"3";"";"";"";""
"560";"EKBA ¦ Skelhøj, Team 1, Jægerbakken 20, 3670 Veksø";"237";"SKE1";"SKE1";"CSS ";"Kim Jørgensen";"3";"";"";"";""
"561";"EKBA ¦ Skelhøj, Team 2, Jægerbakken 36, 3670 Veksø";"237";"SKE2";"SKE2";"CSS ";"Kim Jørgensen";"3";"";"";"";""
"562";"EKBA ¦ Skelhøj, Team 3, Jægerbakken 56, 3670 Veksø";"237";"SKE3";"SKE3";"CSS ";"Kim Jørgensen";"3";"";"";"";""
"563";"EKBA ¦ Skelhøj, Team 4, Jægerbakken 72, 3670 Veksø";"237";"SKE4";"SKE4";"CSS ";"Kim Jørgensen";"3";"";"";"";""
"571";"EKBA ¦ Søvænge, Team A";"343";"SOEA";"SOEA";"CSS ";"Kim Jørgensen";"3";"";"";"";""
"572";"EKBA ¦ Søvænge, Team B";"343";"SOEB";"SOEB";"CSS ";"Kim Jørgensen";"3";"";"";"";""
"760";"EKBA ¦ Søvænge, Team Brederødvej, Brederødvej 19, 3300 Frederiksværk";"343";"SOEJ";"SOEJ";"CSS";"Kim Jørgensen";"3";"";"";"";""
"573";"EKBA ¦ Søvænge, Team C";"343";"SOEC";"SOEC";"CSS ";"Kim Jørgensen";"3";"";"";"";""
"574";"EKBA ¦ Søvænge, Team D";"343";"SOED";"SOED";"CSS ";"Kim Jørgensen";"3";"";"";"";""
"575";"EKBA ¦ Søvænge, Team E";"343";"SOEE";"SOEE";"CSS ";"Kim Jørgensen";"3";"";"";"";""
"576";"EKBA ¦ Søvænge, Team F";"343";"SOEF";"SOEF";"CSS ";"Kim Jørgensen";"3";"";"";"";""
"581";"EKBA ¦ Søvænge, Team S";"343";"SOES";"SOES";"CSS ";"Kim Jørgensen";"3";"";"";"";""
"515";"Engbo";"346";"ENGB";"ENGB";"CSO ";"Shannet Jakobsen";"4";"";"";"";""
"516";"Engbo, Solkrogen og Demensdagcentre";"235";"ESD";"ESD";"CSO ";"Shannet Jakobsen";"4";"";"";"";""
"306";"Erhverv";"400R";"ERHV";"ERHV";"CPK";"Mona Dates Jørgensen";"2";"";"";"";"erhverv@egekom.dk"
"284";"Fællesadministration";"400R";"CBSS";"CBSS";"CBS ";"Kjeld Ebdrup";"2";"JJF2LJ";"Louise Johannesen";"5798008080760";""
"416";"Fast ejendom, forsikring og administration";"400R";"CEIS";"CEIS";"CEI ";"";"";"";"";"5798008080913";""
"517";"Flyvere";"104H";"HFLY";"HFLY";"CSO ";"Henriette Holm";"4";"";"";"";""
"355";"Forebyggelse og Sundhed";"321";"FORL";"FORL";"CSO ";"Lisa Riiser";"3";"";"";"5798008081330";""
"518";"Forebyggelse og Sundhed, ledelse";"321";"FOR";"FOR";"CSO ";"Lisa Riiser";"3";"";"";"5798008081330";""
"477";"Fritidsklubben Hampen";"315";"KHAM";"KHAM";"CSD ";"Kim Fussing Nielsen";"";"";"";"5798008080227";""
"479";"Fritidsklubben Ørnebjerg";"306";"KOER";"KOER";"CSD ";"Finn Engelbrekt";"";"";"";"5798008080050";""
"478";"Fritidsklubben Springbrættet";"106";"KSPR";"KSPR";"CSD ";"Tue Fournaise";"";"";"";"5798008857102";""
"480";"Ganløse Fritids- og Ungdomsklub";"232";"KGAN";"KGAN";"CSD ";"Marianne Blesky";"";"";"";"5790001130794";""
"419";"Ganløse Idrætsanlæg";"202";"IGAN";"IGAN";"CPK ";"Jan Ludvigsen";"3";"";"";"5790001130633";""
"318";"Ganløse Skole";"226";"SGAN";"SGAN";"CSD ";"Kate Svendsen";"3";"JJK7HB";"Heidi Gronemann";"5790001130718";""
"319";"Hampelandskolen";"332";"SHAM";"SHAM";"CSD ";"Mik Fallesen";"";"JJK5MN";"Marianne Nielsen";"5798008080104";""
"554";"Handicapteam";"400R";"HAN";"HAN";"CSS ";"Jan Falk";"4";"";"";"";""
"555";"Handicapteam, Børn og unge";"400R";"HAND";"HAND";"CSS ";"Jan Falk";"4";"";"";"";""
"558";"Handicapteam, Voksne";"400R";"MYTI";"MYTI";"CSS ";"Jan Falk";"4";"";"";"";""
"510";"Hjemmepleje";"235";"HJE";"HJE";"CSO ";"Britt Rosendahl";"3";"";"";"";""
"509";"Hjemmepleje, Aften Nat Teams";"235";"HAT";"HAT";"CSO ";"Britt Rosendahl";"3";"";"";"";""
"734";"Hjemmepleje, Aften Team";"235";"HAFT";"HAFT";"CSO";"Britt Rosendahl";"3";"";"";"";""
"735";"Hjemmepleje, Nat Team";"";"HNAT";"HNAT";"CSO";"Britt Rosendahl";"3";"";"";"";""
"701";"HR og Kommunikation";"400R";"HRMI";"HRMI";"CAS ";"Malene Blangshøj";"4";"";"";"5798008081095";"CAS.HRKommunikation@egekom.dk"
"417";"Idrætsanlæg";"400R";"IDR";"IDR";"CPK";"Peter Rugholm";"";"";"";"";""
"380";"Idrætsanlæg, ledelse";"111";"IDRA";"IDRA";"CPK ";"Jan Ludvigsen";"3";"";"";"5798008081323";""
"618";"JOB Ledelse";"400J";"JOBL";"JOBL";"JOB";"Lars Bonde";"3";"";"";"";""
"525";"Kløverhaven";"233A";"KLOV";"KLOV";"CSO ";"Birthe Jensen";"4";"";"";"";""
"595";"Kommunaldirektør";"400R";"KOMD";"KOMD";"KOD ";"";"";"";"";"";""
"292";"Kommunale Ejendomme";"400R";"SER";"SER";"CEI ";"Kleis Nielsen";"2";"";"";"";""
"361";"Kommunale Veje";"400R";"KOVE";"KOVE";"CTM ";"Paul Hammer Sørensen";"";"";"";"";""
"288";"Konsulentteam";"400R";"TVAD";"TVAD";"CBS ";"Rikke Terslev Bengtson";"3";"";"";"";""
"527";"Kostfremstilling";"235";"KOS";"KOS";"CSO ";"Else Marie Vesterager";"";"";"";"";""
"309";"Kultur og Fritid";"400R";"KUL";"KUL";"CPK ";"Peter Rugholm";"3";"";"";"";""
"310";"Kultur og Fritid, administration";"400R";"KULT";"KULT";"CPK ";"Peter Rugholm";"3";"JJN6SM";"Susanne Mosbæk";"5798008080821";""
"321";"Lærkeskolen";"228";"SLAR";"SLAR";"CSD ";"Jannick Stærmose Mortensen";"";"JJK8ARD";"Anja Radoor";"5790001129354";""
"420";"Ledøje-Smørum Idrætsanlæg";"111";"ILED";"ILED";"CPK ";"Jan Ludvigsen";"3";"";"";"5798008857270";""
"482";"Ledøje-Smørum Tandklinik";"108T";"LSTA";"LSTA";"CSD ";"Anette Bach Andersen";"";"";"";"";""
"357";"Madservice";"235";"MADS";"MADS";"CSO ";"Anette Petersen";"";"";"";"5798008081057";""
"322";"Maglehøjskolen";"335";"SMAG";"SMAG";"CSD ";"Lise Boye";"";"JJK5KJ";"Kirsten Jensen";"5798008079856";""
"411";"Materielgård";"";"MAT";"MAT";"CTM";"Lars Krog";"3";"";"";"";""
"589";"Materielgård, grøn gruppe";"215";"MATG";"MATG";"CTM ";"Niels Bogh";"4";"";"";"";""
"359";"Materielgård, ledelse og sekretariat";"215";"MATL";"MATL";"CTM ";"Lars Krog";"3";"";"";"5798008081019";""
"590";"Materielgård, sort gruppe";"215";"MATS";"MATS";"CTM ";"Frederik Sørensen";"4";"";"";"";""
"588";"Miljøbeskyttelse";"400R";"MILJ";"MILJ";"CTM";"Paul Hammer Sørensen";"4";"";"";"";""
"379";"Museer og Arkiv";"310A";"MUSE";"MUSE";"CPK ";"Rolf Kjær-Hansen";"4";"";"";"5798008081064";""
"421";"Musikskolen";"400R";"MUSK";"MUSK";"CPK ";"Bjarne Kulmbak";"3";"";"";"5798008080999";""
"757";"Myndighed";"400R";"MYB";"MYB";"CSS";"Gunhild Kirkmand";"3";"";"";"";""
"349";"Myndighed, ledelse";"400R";"MYBE";"MYBE";"CSS ";"Gunhild Kirkmand";"3";"";"";"5798008081354";""
"360";"Naturbeskyttelse";"400R";"NATU";"NATU";"CTM";"Thomas Jakobsen";"4";"";"";"5798008081194";""
"707";"Økonomi";"400R";"CAO";"CAO";"CAS";"Simon Vibild";"4";"";"";"";""
"408";"Ølstykke Bibliotek";"310";"BIBO";"BIBO";"CBS ";"Bente Stonor Nielsen";"3";"";"";"";""
"424";"Ølstykke Hallen";"324";"IOLH";"IOLH";"CPK ";"Jan Ludvigsen";"3";"";"";"5798008080067";""
"425";"Ølstykke Svømmehal";"323";"IOLS";"IOLS";"CPK ";"Jan Ludvigsen";"3";"";"";"";""
"508";"Ølstykke Tandklinik";"331T";"OLTA";"OLTA";"CSD ";"Anette Bach Andersen";"3";"";"";"";""
"547";"Ølstykkegruppen";"349";"HJOL";"HJOL";"CSO ";"Helle Jørgensen";"4";"";"";"";""
"484";"Område Klub Egedal";"116";"OKLU";"OKLU";"CSD ";"Hans Christian Grau-Hansen";"";"";"";"";""
"469";"Områdeleder Ølstykke";"235";"BOO2";"BOO2";"CSD ";"Mariann Knudsen";"3";"";"";"5798008080111";""
"509";"Områdeleder Smørum";"235";"BOSM";"BOSM";"CSD";"Heidi Braunstein";"3";"";"";"5798008856990";""
"510";"Områdeleder Stenløse";"235";"BOST";"BOST";"CSD";"Julie Gregaard";"3";"";"";"5790001130688";""
"720";"Pasning af eget barn";"";"PASE";"PASE";"CSD";"";"";"";"";"";""
"404";"Pasning af nærtstående";"321";"TVPL";"TVPL";"CBS ";"";"";"";"";"";""
"485";"PAU elever";"400R";"PAUE";"PAUE";"CSD ";"Charlotte Bonde-Hansen";"4";"";"";"";""
"704";"Personale og Forhandling";"400R";"CPOP";"CPOP";"CAS ";"Bolette Bendixen";"3";"";"";"5798008081101";"personale@egekom.dk"
"311";"Planlægning";"400R";"PLAN";"PLAN";"CPK ";"Lotte Roed";"4";"";"";"";""
"730";"Plejecentre";"235";"PLEC";"PLEC";"CSO";"Britt Rosendahl";"3";"";"";"";""
"358";"Plejen";"235";"PLE";"PLE";"CSO ";"Britt Rosendahl";"3";"";"";"";""
"528";"Porsebakken";"103";"POR";"POR";"CSO ";"Britt Rosendahl";"3";"";"";"";""
"529";"Porsebakken A og B";"103";"POAB";"POAB";"CSO ";"Heidi Nielsen";"4";"";"";"";""
"324";"PPR";"400R";"PPR";"PPR";"CSD ";"Marianne Micheelsen";"3";"";"";"";""
"323";"PPR, ledelse og personale";"400R";"PPRX";"PPRX";"CSD ";"Kitt Boel";"5";"";"";"";""
"384";"Projekt Egedal";"312";"JOBB";"JOBB";"JOB ";"Michael G. Nielsen";"";"";"";"";""
"593";"Projekter";"400J";"JOBP";"JOBP";"JOB ";"";"";"";"";"";""
"559";"Rådgiverteam";"400R";"CSSR";"CSSR";"CSS ";"Jette Lantow";"4";"";"";"";""
"737";"Rådhuskantine";"400R";"KANO";"KANO";"CSO";"Anette Petersen";"5";"";"";"5798008080432";""
"736";"Reception Sundhedscenter";"400S";"CSOR";"CSOR";"CSO";"";"";"";"";"";""
"714";"Risikostyring";"400R";"RISI";"RISI";"CEI";"Niels Erik Farik";"4";"";"";"";""
"557";"Rusmiddelteam";"239";"MISB";"MISB";"CSS ";"Søren Hvid Karsten";"4";"";"";"";""
"325";"SFO Bækkegårdsskolen";"331F";"FBAK";"FBAK";"CSD ";"Gitte Friis";"";"";"";"5798008080326";""
"430";"SFO Distrikt Ganløse";"226";"FGA";"FGA";"CSD ";"Peyman Luo";"3";"";"";"";""
"435";"SFO Distrikt Ølstykke";"333F";"FOL";"FOL";"CSD ";"Gert Kastrup Friis";"3";"";"";"";""
"431";"SFO Distrikt Smørum";"115F";"FSM";"FSM";"CSD ";"Lisbeth Herup";"4";"";"";"";""
"433";"SFO Distrikt Stenløse";"331F";"FST";"FST";"CSD ";"Gitte Friis";"3";"";"";"";""
"326";"SFO Firkløveren";"108F";"FFIR";"FFIR";"CSD ";"Pia Telvig";"";"";"";"5798008857119";""
"327";"SFO Ganløse";"226F";"FGAN";"FGAN";"CSD ";"Peyman Luo";"3";"";"";"5790001129385";""
"328";"SFO Hampelandskolen";"332F";"FHAM";"FHAM";"CSD ";"Brian Dahlmann";"";"";"";"5798008080036";""
"329";"SFO Kildekær";"113F";"FKIL";"FKIL";"CSD ";"Lotte Veber";"";"";"";"5798008857133";""
"330";"SFO Lærkeskolen";"228F";"FLAR";"FLAR";"CSD ";"Malene Herbst Andersen";"";"";"";"5790001129361";""
"331";"SFO Maglehøjskolen";"335F";"FMAG";"FMAG";"CSD ";"Tina Møllmann";"";"";"";"5798008080289";""
"332";"SFO Mosehuset";"115F";"FMOS";"FMOS";"CSD ";"Lisbeth Herup";"";"";"";"5798008857126";""
"333";"SFO Slagslunde Skole";"225F";"FSLA";"FSLA";"CSD ";"Maria Buch";"";"";"";"5790001129392";""
"334";"SFO Stengården";"330F";"FSTE";"FSTE";"CSD ";"Martin Ægidius Andreasen";"";"";"";"5798008080029";""
"335";"SFO Toftehøjskolen";"333F";"FTOF";"FTOF";"CSD ";"Gert Kastrup Friis";"";"";"";"5798008080043";""
"336";"SFO Veksø";"227F";"FVEK";"FVEK";"CSD ";"Carina Chabert";"";"";"";"5790001129378";""
"486";"Skoleafdeling";"400R";"SKA";"SKA";"CSD ";"Marianne Micheelsen";"3";"";"";"5798008080845";""
"487";"Skoleafdeling, ledelse";"400R";"SKLE";"SKLE";"CSD ";"Marianne Micheelsen";"3";"";"";"";""
"488";"Skoledistrikt Ganløse";"100";"DGA";"DGA";"CSD ";"Lise Bjerregaard";"3";"";"";"";""
"491";"Skoledistrikt Ølstykke";"335";"DOL";"DOL";"CSD ";"Lise Boye";"3";"";"";"";""
"489";"Skoledistrikt Smørum";"108";"DSM";"DSM";"CSD ";"Peter Kilmose";"3";"";"";"";""
"490";"Skoledistrikt Stenløse";"228";"DST";"DST";"CSD ";"Jannick Stærmose Loessl";"3";"";"";"";""
"569";"Skovbo";"339";"SKOV";"SKOV";"CSS ";"Søren Hvid Karsten";"4";"";"";"";""
"493";"Skovbørnehaven Hede Enge";"112";"BRES";"BRES";"CSD ";"Karen Sørensen";"";"";"";"";""
"494";"Skovbørnehaven Tungegården";"342";"BTUN";"BTUN";"CSD ";"Jørgen Sonne";"";"";"";"";""
"338";"Slagslunde Skole";"225";"SSLA";"SSLA";"CSD ";"Lise Bjerregaard";"";"JJK3UMP";"Ulla Pedersen";"5790001130749";""
"406";"Smørum Bibliotek";"107";"BIBS";"BIBS";"CBS ";"Lykke Sassersen";"4";"";"";"";""
